,Vocabulary,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,F1 Score
1,1.0,237.0,1.0,47.0,3.0,0.9861111111111112,0.9678991596638655,0.9833333333333334,0.9754077363162839
2,1.0,236.0,0.0,48.0,4.0,0.9861111111111112,0.9615384615384616,0.9916666666666667,0.9757983193277311
3,1.0,238.0,0.0,48.0,2.0,0.9930555555555556,0.98,0.9958333333333333,0.9877038681581419
4,1.0,238.0,0.0,48.0,2.0,0.9930555555555556,0.98,0.9958333333333333,0.9877038681581419
5,1.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
6,1.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
7,1.0,240.0,1.0,46.0,1.0,0.9930555555555556,0.987287013330979,0.987287013330979,0.987287013330979
8,1.0,236.0,0.0,47.0,5.0,0.9826388888888888,0.9519230769230769,0.9896265560165975,0.9695063846007241
9,1.0,240.0,1.0,46.0,1.0,0.9930555555555556,0.987287013330979,0.987287013330979,0.987287013330979
10,-,-,-,-,-,-,-,-,-
11,1.0,238.55555555555554,0.3333333333333333,47.111111111111114,2.0,0.991898148148148,0.9795483027541513,0.9923185832605803,0.985632689246998
12,-,-,-,-,-,-,-,-,-
13,2.0,237.0,1.0,47.0,3.0,0.9861111111111112,0.9678991596638655,0.9833333333333334,0.9754077363162839
14,2.0,236.0,0.0,48.0,4.0,0.9861111111111112,0.9615384615384616,0.9916666666666667,0.9757983193277311
15,2.0,238.0,0.0,48.0,2.0,0.9930555555555556,0.98,0.9958333333333333,0.9877038681581419
16,2.0,237.0,0.0,48.0,3.0,0.9895833333333334,0.9705882352941176,0.99375,0.9817038307604345
17,2.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
18,2.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
19,2.0,240.0,1.0,46.0,1.0,0.9930555555555556,0.987287013330979,0.987287013330979,0.987287013330979
20,2.0,234.0,0.0,47.0,7.0,0.9756944444444444,0.9351851851851851,0.9854771784232366,0.9579781136008337
21,2.0,240.0,1.0,46.0,1.0,0.9930555555555556,0.987287013330979,0.987287013330979,0.987287013330979
22,-,-,-,-,-,-,-,-,-
23,2.0,238.22222222222223,0.3333333333333333,47.111111111111114,2.3333333333333335,0.9907407407407407,0.9766427853715098,0.991626059824281,0.9836850994250425
24,-,-,-,-,-,-,-,-,-
25,3.0,239.0,1.0,47.0,1.0,0.9930555555555556,0.9875,0.9875,0.9875
26,3.0,237.0,0.0,48.0,3.0,0.9895833333333334,0.9705882352941176,0.99375,0.9817038307604345
27,3.0,238.0,0.0,48.0,2.0,0.9930555555555556,0.98,0.9958333333333333,0.9877038681581419
28,3.0,239.0,0.0,48.0,1.0,0.9965277777777778,0.9897959183673469,0.9979166666666667,0.9938015194886254
29,3.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
30,3.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
31,3.0,241.0,1.0,46.0,0.0,0.9965277777777778,0.9979338842975207,0.9893617021276595,0.9935884592266079
32,3.0,237.0,0.0,47.0,4.0,0.9861111111111112,0.9607843137254901,0.991701244813278,0.9754077363162839
33,3.0,240.0,6.0,41.0,1.0,0.9756944444444444,0.9759001161440186,0.934095523969277,0.953487298987149
34,-,-,-,-,-,-,-,-,-
35,3.0,239.22222222222223,0.8888888888888888,46.55555555555556,1.3333333333333333,0.9922839506172839,0.9847224964253881,0.9877953856566906,0.9859103014374715
36,-,-,-,-,-,-,-,-,-
37,4.0,238.0,1.0,47.0,2.0,0.9895833333333334,0.9774997865254889,0.9854166666666666,0.9814045584658762
38,4.0,237.0,0.0,48.0,3.0,0.9895833333333334,0.9705882352941176,0.99375,0.9817038307604345
39,4.0,237.0,0.0,48.0,3.0,0.9895833333333334,0.9705882352941176,0.99375,0.9817038307604345
40,4.0,238.0,1.0,47.0,2.0,0.9895833333333334,0.9774997865254889,0.9854166666666666,0.9814045584658762
41,4.0,241.0,1.0,46.0,0.0,0.9965277777777778,0.9979338842975207,0.9893617021276595,0.9935884592266079
42,4.0,241.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0
43,4.0,241.0,1.0,46.0,0.0,0.9965277777777778,0.9979338842975207,0.9893617021276595,0.9935884592266079
44,4.0,237.0,0.0,47.0,4.0,0.9861111111111112,0.9607843137254901,0.991701244813278,0.9754077363162839
45,4.0,240.0,6.0,41.0,1.0,0.9756944444444444,0.9759001161440186,0.934095523969277,0.953487298987149
46,-,-,-,-,-,-,-,-,-
47,4.0,238.88888888888889,1.1111111111111112,46.333333333333336,1.6666666666666667,0.9903549382716049,0.9809698046781958,0.9847615007079119,0.9824765258010301
48,-,-,-,-,-,-,-,-,-
